Year,You Keep,Fund Fees,Advisor Fees,Lost Earnings
24,450818,1231572,1215966,641667
23,74257,198724,183159,50277
22,601943,1804762,1523681,862573
21,264160,754420,727124,407205
20,3853788,10604510,8819342,4114496
19,466194,1464939,1290094,511094
18,325110,916955,968967,478007
17,84464,230183,230528,121688
16,75569,193557,140043,70648
15,1607297,4782119,4746856,3187797
14,919876,2846985,2389018,981024
13,124834,356237,331817,190067
12,147606,406247,375173,182150
11,1311479,3596343,3239173,1575308
10,605863,1724528,1647881,813839
9,306398,750505,788485,444554
8,293114,728166,713663,366706
7,381394,1179637,1134283,565867
6,471275,1162463,1128771,540314
5,112682,331809,397911,199187
4,543470,1556225,1513754,679565
3,665879,1782449,1751508,871098
2,974480,2628322,2706100,1304322
1,507289,1416063,1391878,650519
